# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2227
#@/user_id	c286c5d4-02d2-4839-a588-e8f68a470b72
a 	啊	c=2 d=0.440935 t=2227
fa guang 	發光	c=1 d=0.404542 t=2227
fa lai fa qu 	發來發去	c=1 d=0.362402 t=2227
fa sheng 	發生	c=4 d=0.412187 t=2227
fa shi 	法師	c=1 d=0.0156858 t=2227
fa shi 	發誓	c=2 d=0.00396856 t=2227
fa si 	髮絲	c=2 d=0.0323371 t=2227
fa xian 	發現	c=1 d=0.0158434 t=2227
fa xing 	髮型	c=1 d=0.0175975 t=2227
fa yin 	發音	c=5 d=0.644422 t=2227
fan 	反	c=1 d=0.017953 t=2227
fan kang 	反抗	c=2 d=0.774916 t=2227
fan wei 	範圍	c=2 d=0.0773608 t=2227
fan yi 	翻譯	c=2 d=0.101266 t=2227
fan yi ci 	反義詞	c=4 d=2.1588 t=2227
fan zheng 	反正	c=1 d=0.412714 t=2227
fan zhuan 	反轉	c=1 d=0.140156 t=2227
fang 	放	c=5 d=0.305031 t=2227
fang kang 	放抗	c=1 d=0.771052 t=2227
fang xiang 	芳香	c=1 d=0.194952 t=2227
fei 	非	c=1 d=0.0164078 t=2227
fen 	分	c=2 d=0.0340607 t=2227
fen 	粉	c=1 d=0.261846 t=2227
fen ge 	分割	c=2 d=0.00984451 t=2227
fen si 	粉絲	c=2 d=0.118837 t=2227
feng fu 	豐富	c=1 d=0.467666 t=2227
feng xian 	奉獻	c=1 d=0.382893 t=2227
fou ding 	否定	c=1 d=0.112478 t=2227
fu gai 	覆蓋	c=1 d=0.131994 t=2227
fu she 	輻射	c=1 d=0.128735 t=2227
fu shu xing shi 	複數形式	c=1 d=0.150318 t=2227
fu tou 	斧頭	c=1 d=0.0187793 t=2227
fu yang 	撫養	c=1 d=0.932394 t=2227
fu zhi 	複製	c=3 d=0.941765 t=2227
fu zhu 	輔助	c=1 d=0.472367 t=2227
fu zu 	富足	c=1 d=0.474734 t=2227
gai 	改	c=1 d=0.704688 t=2227
